Date,Open,High,Low,Close,Volume,Name
2023-07-25,32.12,32.25,31.82,31.9395,5647,UBR
2023-07-26,31.6901,32.46,31.6901,32.46,6891,UBR
2023-07-27,31.6,31.6356,30.5937,30.5937,4326,UBR
2023-07-28,30.98,31.0369,30.95,31.0369,2101,UBR
2023-07-31,31.8799,31.9664,31.8294,31.9664,796,UBR
2023-08-01,31,31.15,30.59,30.754,1773,UBR
2023-08-02,30.2245,30.35,30,30.2565,2681,UBR
2023-08-03,29.29,29.565,29.108,29.108,1575,UBR
2023-08-04,28.6226,28.6226,28.6226,28.6226,136,UBR
2023-08-07,28.1519,28.45,28.12,28.45,2212,UBR
2023-08-08,27.27,28.2856,27.27,28.2829,2257,UBR
2023-08-09,27.9399,27.9399,27.65,27.8076,6198,UBR
2023-08-10,28.29,28.8022,28.0498,28.0498,3037,UBR
2023-08-11,28.1808,28.1808,27.5903,27.641,907,UBR
2023-08-14,26.86,26.889,26.42,26.5474,2505,UBR
2023-08-15,26.21,26.21,26,26.0025,1253,UBR
2023-08-16,26.55,26.55,25.7,25.7613,1430,UBR
2023-08-17,26.2199,26.2199,25.421,25.5057,1607,UBR
2023-08-18,25.751,25.799,25.751,25.799,173,UBR
2023-08-21,25.1601,25.315,25.1601,25.2854,2976,UBR
2023-08-22,25.93,26.4389,25.93,26.4389,509,UBR
2023-08-23,27.12,28.21,27.12,28.1531,2361,UBR
2023-08-24,27.89,27.93,27.4924,27.4924,1342,UBR
2023-08-25,27.08,27.08,27.0593,27.0593,1078,UBR
2023-08-28,27.7314,27.7314,27.7314,27.7314,51,UBR
2023-08-29,28.41,28.549,28.247,28.5453,2318,UBR
2023-08-30,28.43,28.43,27.96,27.97,2303,UBR
2023-08-31,26.5,26.5286,26.32,26.3537,2298,UBR
2023-09-01,27.14,27.2344,27.14,27.2344,428,UBR
2023-09-05,26.5157,26.87,26.5157,26.7082,624,UBR
2023-09-06,27.13,27.13,26.0726,26.0726,266,UBR
2023-09-07,25.37,25.37,25.0237,25.0237,338,UBR
2023-09-08,25.5,25.6462,25.5,25.6462,644,UBR
